Customer id,Gender,Age,City,Policy id,Policy number,Purchase Method,Coverage type,Policy start date,Policy end date,Policy renewed in next year,Premium,Claims,Claim id,Claim date,Settlement date,Claims amount,Complaints,Complaint id,Complaint file date,Complaint resolution date,Complaint communication channel,Survey year,Satisfaction Score
dj_1464,Female,66,Toronto,23,B400020,Third party Agent,D,1/4/2018,1/4/2019,Yes,1694,No,,,,,Yes,21,5/4/2018,7/22/2018,E-mail,2018,3.2
dj_1829,Male,21,London,24,B400021,Third party Agent,A,1/4/2018,1/4/2019,Yes,2421,No,,,,,Yes,22,2/4/2018,4/24/2018,Call,2018,2.9
dj_5,Male,65,Windsor,25,B400029,Third party Agent,A,1/5/2018,1/5/2019,Yes,1672,No,,,,,Yes,30,5/5/2018,7/30/2018,E-mail,2018,3.7
dj_370,Male,20,Windsor,26,B400026,Third party Agent,C,1/5/2018,1/5/2019,Yes,4799,No,,,,,Yes,27,3/5/2018,6/27/2018,Call,2018,3.8
dj_735,Female,27,Kitchener,27,B400025,Third party Agent,B,1/5/2018,1/5/2019,Yes,2373,No,,,,,Yes,26,3/5/2018,6/13/2018,E-mail,2018,2.8
dj_1100,Male,30,Toronto,28,B400027,Third party Agent,C,1/5/2018,1/5/2019,Yes,4834,Yes,5,4/5/2018,10/23/2018,44556,Yes,28,4/5/2018,4/21/2018,E-mail,2018,2.8
dj_1465,Female,67,Hamilton,29,B400024,Third party Agent,D,1/5/2018,1/5/2019,Yes,6548,No,,,,,Yes,25,2/5/2018,3/25/2018,Call,2018,2.9
dj_1830,Male,18,Brampton,30,B400028,Third party Agent,A,1/5/2018,1/5/2019,Yes,3923,No,,,,,Yes,29,5/5/2018,6/26/2018,Call,2018,3.6
dj_6,Female,41,Hamilton,31,B400034,Third party Agent,C,1/6/2018,1/6/2019,Yes,2927,No,,,,,Yes,35,3/6/2018,3/21/2018,Call,2018,3.5
dj_371,Female,18,Brampton,32,B400031,Third party Agent,A,1/6/2018,1/6/2019,Yes,1694,No,,,,,Yes,32,3/6/2018,5/7/2018,Web portal,2018,3.8
dj_736,Male,31,London,33,B400033,Third party Agent,B,1/6/2018,1/6/2019,Yes,4115,No,,,,,Yes,34,2/6/2018,3/14/2018,Call,2018,3.5
dj_1101,Female,51,Mississauga,34,B400035,Third party Agent,C,1/6/2018,1/6/2019,Yes,2794,Yes,6,5/6/2018,2/4/2019,24808,Yes,36,5/6/2018,7/2/2018,E-mail,2018,3.1
dj_1466,Female,45,Windsor,35,B400030,Third party Agent,D,1/6/2018,1/6/2019,Yes,4505,No,,,,,Yes,31,3/6/2018,3/27/2018,Call,2018,3.3
dj_1831,Female,53,London,36,B400032,Third party Agent,A,1/6/2018,1/6/2019,Yes,2695,No,,,,,Yes,33,5/6/2018,6/13/2018,E-mail,2018,3.6
dj_7,Male,38,Vaughan,37,B400041,Third party Agent,A,1/7/2018,1/7/2019,Yes,1244,No,,,,,Yes,42,4/7/2018,6/8/2018,E-mail,2018,3.1
dj_372,Female,52,Mississauga,38,B400039,Third party Agent,A,1/7/2018,1/7/2019,Yes,3460,No,,,,,Yes,40,5/7/2018,6/23/2018,E-mail,2018,3.6
dj_737,Female,36,London,39,B400038,Third party Agent,D,1/7/2018,1/7/2019,Yes,7587,No,,,,,Yes,39,3/7/2018,6/23/2018,E-mail,2018,3.3
dj_1102,Male,23,London,40,B400036,Third party Agent,B,1/7/2018,1/7/2019,Yes,4929,Yes,7,3/7/2018,5/29/2018,41843,Yes,37,2/7/2018,5/9/2018,Call,2018,3.1
dj_1467,Male,70,Vaughan,41,B400037,Third party Agent,A,1/7/2018,1/7/2019,Yes,3544,No,,,,,Yes,38,2/7/2018,4/25/2018,Call,2018,3
dj_1832,Male,58,Markham,42,B400040,Third party Agent,C,1/7/2018,1/7/2019,Yes,5421,No,,,,,Yes,41,4/7/2018,6/15/2018,Call,2018,3.7
dj_8,Female,49,Vaughan,43,B400044,Third party Agent,B,1/8/2018,1/8/2019,Yes,2203,No,,,,,Yes,45,3/8/2018,6/27/2018,Call,2018,3.5
dj_373,Male,45,Mississauga,44,B400043,Third party Agent,B,1/8/2018,1/8/2019,Yes,2068,No,,,,,Yes,44,3/8/2018,3/28/2018,Call,2018,3.3
dj_738,Female,28,Hamilton,45,B400047,Third party Agent,D,1/8/2018,1/8/2019,Yes,8318,No,,,,,Yes,48,5/8/2018,7/8/2018,Call,2018,3.9
dj_1103,Female,45,London,46,B400045,Third party Agent,A,1/8/2018,1/8/2019,Yes,1569,Yes,8,4/8/2018,10/10/2018,49465,Yes,46,4/8/2018,5/11/2018,E-mail,2018,2.1
dj_1468,Male,49,Markham,47,B400046,Third party Agent,A,1/8/2018,1/8/2019,Yes,3927,No,,,,,Yes,47,4/8/2018,8/5/2018,Call,2018,3
dj_1833,Male,43,Windsor,48,B400042,Third party Agent,C,1/8/2018,1/8/2019,Yes,4884,No,,,,,Yes,43,3/8/2018,4/20/2018,Call,2018,3.8
dj_9,Male,56,Markham,49,B400052,Third party Agent,D,1/9/2018,1/9/2019,Yes,9143,No,,,,,Yes,53,2/9/2018,5/10/2018,E-mail,2018,3.8
dj_374,Female,37,Windsor,50,B400051,Third party Agent,B,1/9/2018,1/9/2019,Yes,5391,No,,,,,Yes,52,2/9/2018,3/13/2018,E-mail,2018,3.7
dj_739,Male,64,Hamilton,51,B400049,Third party Agent,B,1/9/2018,1/9/2019,No,3171,No,,,,,Yes,50,4/9/2018,6/27/2018,E-mail,2018,3.6
dj_1104,Female,34,Mississauga,52,B400050,Third party Agent,A,1/9/2018,1/9/2019,Yes,3575,Yes,9,5/9/2018,11/29/2018,92309,Yes,51,2/9/2018,4/11/2018,Call,2018,2.4
dj_1469,Male,59,Brampton,53,B400048,Third party Agent,B,1/9/2018,1/9/2019,Yes,2179,No,,,,,Yes,49,4/9/2018,4/27/2018,E-mail,2018,3.2
dj_1834,Female,31,Ottawa,54,B400053,Third party Agent,D,1/9/2018,1/9/2019,Yes,8089,No,,,,,Yes,54,3/9/2018,6/7/2018,Call,2018,3
dj_10,Female,33,London,55,B400059,Third party Agent,D,1/10/2018,1/10/2019,No,1611,No,,,,,Yes,60,5/10/2018,8/24/2018,Call,2018,3.7
dj_375,Female,25,Vaughan,56,B400054,Third party Agent,C,1/10/2018,1/10/2019,Yes,5061,No,,,,,Yes,55,2/10/2018,2/27/2018,Web portal,2018,3.9
dj_740,Female,63,Kitchener,57,B400058,Third party Agent,D,1/10/2018,1/10/2019,Yes,6573,No,,,,,Yes,59,3/10/2018,4/25/2018,E-mail,2018,3.8
dj_1105,Female,41,Hamilton,58,B400056,Third party Agent,C,1/10/2018,1/10/2019,Yes,3533,Yes,10,5/10/2018,12/15/2018,96246,Yes,57,4/10/2018,7/29/2018,E-mail,2018,2.7
dj_1470,Female,67,Markham,59,B400057,Third party Agent,A,1/10/2018,1/10/2019,Yes,3545,No,,,,,Yes,58,2/10/2018,4/7/2018,Call,2018,3.2
dj_1835,Male,63,Brampton,60,B400055,Third party Agent,B,1/10/2018,1/10/2019,Yes,1840,No,,,,,Yes,56,3/10/2018,6/27/2018,E-mail,2018,2.9
dj_11,Female,68,Hamilton,61,B400060,Third party Agent,C,1/11/2018,1/11/2019,No,1690,Yes,11,3/11/2018,4/30/2018,95557,Yes,61,3/11/2018,4/6/2018,Call,2018,2.5
dj_376,Male,52,Windsor,62,B400061,Third party Agent,A,1/11/2018,1/11/2019,No,3434,No,,,,,Yes,62,4/11/2018,6/20/2018,E-mail,2018,4.1
dj_741,Female,42,Toronto,63,B400062,Third party Agent,D,1/11/2018,1/11/2019,Yes,4393,No,,,,,Yes,63,5/11/2018,7/5/2018,E-mail,2018,5
dj_1106,Male,60,Ottawa,64,B400065,Third party Agent,D,1/11/2018,1/11/2019,Yes,8797,Yes,12,5/11/2018,7/23/2018,73695,Yes,66,5/11/2018,8/5/2018,E-mail,2018,1.9
dj_1471,Male,52,Ottawa,65,B400063,Third party Agent,B,1/11/2018,1/11/2019,Yes,5705,No,,,,,Yes,64,3/11/2018,5/13/2018,Call,2018,4.8
dj_1836,Female,33,Markham,66,B400064,Third party Agent,D,1/11/2018,1/11/2019,Yes,4975,No,,,,,Yes,65,4/11/2018,6/24/2018,Call,2018,5
dj_12,Female,31,Mississauga,67,B400070,Third party Agent,A,1/12/2018,1/12/2019,Yes,3223,No,,,,,Yes,71,2/12/2018,5/8/2018,Call,2018,2.8
dj_377,Female,69,Ottawa,68,B400066,Third party Agent,C,1/12/2018,1/12/2019,Yes,1955,No,,,,,Yes,67,3/12/2018,7/5/2018,Call,2018,3
dj_742,Male,31,Windsor,69,B400071,Third party Agent,B,1/12/2018,1/12/2019,Yes,1849,No,,,,,Yes,72,2/12/2018,3/3/2018,E-mail,2018,3.1
dj_1107,Male,48,Hamilton,70,B400069,Third party Agent,A,1/12/2018,1/12/2019,Yes,1840,Yes,13,5/12/2018,10/8/2018,9924,Yes,70,2/12/2018,6/6/2018,E-mail,2018,2.8
dj_1472,Male,70,Mississauga,71,B400067,Third party Agent,D,1/12/2018,1/12/2019,Yes,9980,No,,,,,Yes,68,4/12/2018,6/27/2018,E-mail,2018,3.9
dj_1837,Female,31,Mississauga,72,B400068,Third party Agent,B,1/12/2018,1/12/2019,Yes,3206,No,,,,,Yes,69,5/12/2018,5/29/2018,E-mail,2018,3.4
dj_13,Male,30,Windsor,73,B400075,Third party Agent,A,1/13/2018,1/13/2019,Yes,1661,No,,,,,Yes,76,2/13/2018,3/19/2018,Call,2018,3.8
dj_378,Female,47,Markham,74,B400076,Third party Agent,B,1/13/2018,1/13/2019,Yes,2679,No,,,,,Yes,77,3/13/2018,4/2/2018,Call,2018,3.6
dj_743,Female,51,Toronto,75,B400073,Third party Agent,A,1/13/2018,1/13/2019,Yes,2030,No,,,,,Yes,74,2/13/2018,3/13/2018,Web portal,2018,3.3
dj_1108,Male,37,Hamilton,76,B400072,Third party Agent,C,1/13/2018,1/13/2019,Yes,4991,Yes,14,5/13/2018,4/21/2019,91776,Yes,73,2/13/2018,4/29/2018,Web portal,2018,2.9
dj_1473,Female,29,Hamilton,77,B400077,Third party Agent,B,1/13/2018,1/13/2019,Yes,5765,No,,,,,Yes,78,4/13/2018,6/29/2018,E-mail,2018,3
dj_1838,Male,33,Mississauga,78,B400074,Third party Agent,B,1/13/2018,1/13/2019,Yes,2105,No,,,,,Yes,75,3/13/2018,4/2/2018,Call,2018,3.4
dj_14,Female,43,Mississauga,79,B400080,Third party Agent,B,1/14/2018,1/14/2019,Yes,2342,No,,,,,Yes,81,4/14/2018,7/4/2018,Call,2018,3.9
dj_379,Male,42,Ottawa,80,B400078,Third party Agent,C,1/14/2018,1/14/2019,Yes,2465,No,,,,,Yes,79,2/14/2018,3/10/2018,Call,2018,2.7
dj_744,Female,53,Markham,81,B400081,Third party Agent,B,1/14/2018,1/14/2019,Yes,3284,No,,,,,Yes,82,4/14/2018,6/14/2018,E-mail,2018,2.8
dj_1109,Female,47,Brampton,82,B400079,Third party Agent,D,1/14/2018,1/14/2019,Yes,4600,Yes,15,3/14/2018,10/19/2018,84042,Yes,80,3/14/2018,6/6/2018,E-mail,2018,2.7
dj_1474,Male,63,Kitchener,83,B400082,Third party Agent,A,1/14/2018,1/14/2019,Yes,2815,No,,,,,Yes,83,5/14/2018,8/2/2018,Call,2018,3.1
dj_1839,Male,26,Mississauga,84,B400083,Third party Agent,C,1/14/2018,1/14/2019,Yes,5728,No,,,,,Yes,84,5/14/2018,6/4/2018,E-mail,2018,3.1
dj_15,Female,49,London,85,B400085,Third party Agent,B,1/15/2018,1/15/2019,No,4436,No,,,,,Yes,86,4/15/2018,6/22/2018,Call,2018,3.3
dj_380,Female,38,Mississauga,86,B400086,Third party Agent,C,1/15/2018,1/15/2019,Yes,3263,No,,,,,Yes,87,5/15/2018,6/28/2018,E-mail,2018,3
dj_745,Male,27,Hamilton,87,B400084,Third party Agent,C,1/15/2018,1/15/2019,Yes,3443,No,,,,,Yes,85,3/15/2018,4/13/2018,Web portal,2018,3.7
dj_1110,Male,49,Windsor,88,B400089,Third party Agent,B,1/15/2018,1/15/2019,Yes,1702,Yes,16,2/15/2018,7/19/2018,15680,Yes,90,4/15/2018,8/6/2018,E-mail,2018,3
dj_1475,Female,30,London,89,B400087,Third party Agent,B,1/15/2018,1/15/2019,Yes,4910,No,,,,,Yes,88,2/15/2018,5/10/2018,Call,2018,3.2
dj_1840,Female,26,Toronto,90,B400088,Third party Agent,C,1/15/2018,1/15/2019,Yes,2305,No,,,,,Yes,89,2/15/2018,6/12/2018,Call,2018,2.8
dj_16,Male,26,Hamilton,91,B400094,Third party Agent,A,1/16/2018,1/16/2019,Yes,2182,No,,,,,Yes,95,2/16/2018,5/12/2018,E-mail,2018,3.1
dj_381,Female,57,Windsor,92,B400093,Third party Agent,A,1/16/2018,1/16/2019,Yes,2886,No,,,,,Yes,94,5/16/2018,7/6/2018,E-mail,2018,3.3
dj_746,Female,33,Vaughan,93,B400095,Third party Agent,A,1/16/2018,1/16/2019,Yes,3837,No,,,,,Yes,96,4/16/2018,6/11/2018,Call,2018,2.7
dj_1111,Male,31,Ottawa,94,B400090,Third party Agent,C,1/16/2018,1/16/2019,Yes,5628,Yes,17,2/16/2018,4/23/2018,7564,Yes,91,4/16/2018,6/21/2018,Call,2018,2
dj_1476,Female,26,Kitchener,95,B400091,Third party Agent,A,1/16/2018,1/16/2019,Yes,2232,No,,,,,Yes,92,4/16/2018,8/8/2018,Web portal,2018,2.8
dj_1841,Male,35,Hamilton,96,B400092,Third party Agent,B,1/16/2018,1/16/2019,Yes,4749,No,,,,,Yes,93,5/16/2018,8/15/2018,E-mail,2018,3.9
dj_17,Female,32,Hamilton,97,B400099,Third party Agent,C,1/17/2018,1/17/2019,Yes,5044,No,,,,,Yes,100,2/17/2018,4/18/2018,E-mail,2018,3.4
dj_382,Male,35,Brampton,98,B400101,Third party Agent,D,1/17/2018,1/17/2019,Yes,6705,No,,,,,Yes,102,4/17/2018,6/30/2018,E-mail,2018,2.9
dj_747,Female,40,Markham,99,B400097,Third party Agent,A,1/17/2018,1/17/2019,Yes,3685,No,,,,,Yes,98,5/17/2018,7/16/2018,E-mail,2018,3
dj_1112,Female,33,Toronto,100,B400098,Third party Agent,D,1/17/2018,1/17/2019,Yes,8543,Yes,18,5/17/2018,2/17/2019,48658,Yes,99,2/17/2018,3/6/2018,Call,2018,3
dj_1477,Male,53,Windsor,101,B400100,Third party Agent,D,1/17/2018,1/17/2019,Yes,4359,No,,,,,Yes,101,3/17/2018,4/4/2018,Call,2018,3.8
dj_1842,Female,44,Mississauga,102,B400096,Third party Agent,B,1/17/2018,1/17/2019,No,4567,No,,,,,Yes,97,3/17/2018,7/2/2018,Web portal,2018,3.6
dj_18,Female,27,Toronto,103,B400107,Third party Agent,D,1/18/2018,1/18/2019,No,2220,No,,,,,Yes,108,4/18/2018,7/21/2018,Call,2018,3.4
dj_383,Female,50,Vaughan,104,B400103,Third party Agent,B,1/18/2018,1/18/2019,Yes,4456,No,,,,,Yes,104,2/18/2018,3/7/2018,Web portal,2018,3
dj_748,Male,51,London,105,B400105,Third party Agent,B,1/18/2018,1/18/2019,Yes,4668,No,,,,,Yes,106,3/18/2018,4/9/2018,Call,2018,2.9
dj_1113,Male,67,Kitchener,106,B400104,Third party Agent,A,1/18/2018,1/18/2019,Yes,1739,Yes,19,5/18/2018,12/14/2018,28437,Yes,105,2/18/2018,4/3/2018,E-mail,2018,2.9
dj_1478,Male,62,Toronto,107,B400106,Third party Agent,B,1/18/2018,1/18/2019,Yes,3378,No,,,,,Yes,107,4/18/2018,5/25/2018,Call,2018,3.4
dj_1843,Male,38,Ottawa,108,B400102,Third party Agent,D,1/18/2018,1/18/2019,Yes,7085,No,,,,,Yes,103,2/18/2018,4/3/2018,Call,2018,2.8
dj_19,Male,35,Brampton,109,B400113,Third party Agent,B,1/19/2018,1/19/2019,No,3481,No,,,,,Yes,114,2/19/2018,4/16/2018,E-mail,2018,3
dj_384,Female,35,London,110,B400109,Third party Agent,B,1/19/2018,1/19/2019,Yes,3441,No,,,,,Yes,110,3/19/2018,4/7/2018,Call,2018,3.7
dj_749,Female,45,Markham,111,B400112,Third party Agent,D,1/19/2018,1/19/2019,Yes,8841,No,,,,,Yes,113,5/19/2018,7/21/2018,E-mail,2018,3.6
dj_1114,Female,66,Windsor,112,B400108,Third party Agent,D,1/19/2018,1/19/2019,Yes,8879,Yes,20,2/19/2018,5/3/2018,11578,Yes,109,3/19/2018,6/12/2018,Web portal,2018,2.1
dj_1479,Female,29,Ottawa,113,B400110,Third party Agent,C,1/19/2018,1/19/2019,Yes,2135,No,,,,,Yes,111,4/19/2018,6/16/2018,Web portal,2018,3.6
dj_1844,Female,43,London,114,B400111,Third party Agent,C,1/19/2018,1/19/2019,Yes,2409,No,,,,,Yes,112,5/19/2018,7/7/2018,E-mail,2018,3.7
dj_20,Female,55,Windsor,115,B400118,Third party Agent,D,1/20/2018,1/20/2019,Yes,9887,No,,,,,Yes,119,3/20/2018,5/25/2018,Call,2018,3.8
dj_385,Male,29,Windsor,116,B400116,Third party Agent,B,1/20/2018,1/20/2019,Yes,4097,No,,,,,Yes,117,4/20/2018,5/19/2018,Call,2018,4.9
dj_750,Female,60,Hamilton,117,B400119,Third party Agent,D,1/20/2018,1/20/2019,Yes,2763,No,,,,,Yes,120,4/20/2018,5/19/2018,E-mail,2018,4.3
dj_1115,Female,43,Brampton,118,B400117,Third party Agent,B,1/20/2018,1/20/2019,Yes,3989,Yes,21,4/20/2018,12/10/2018,81456,Yes,118,3/20/2018,5/23/2018,E-mail,2018,1.9
dj_1480,Male,43,Windsor,119,B400115,Third party Agent,A,1/20/2018,1/20/2019,Yes,2489,No,,,,,Yes,116,4/20/2018,8/13/2018,Web portal,2018,4.4
dj_1845,Female,30,Mississauga,120,B400114,Third party Agent,A,1/20/2018,1/20/2019,Yes,3168,No,,,,,Yes,115,2/20/2018,4/8/2018,Web portal,2018,5
dj_21,Female,31,Toronto,121,B400125,Third party Agent,B,1/21/2018,1/21/2019,Yes,4951,No,,,,,Yes,600,5/21/2018,7/13/2018,E-mail,2018,3.9
dj_386,Female,29,Toronto,122,B400123,Third party Agent,D,1/21/2018,1/21/2019,Yes,9635,No,,,,,Yes,124,3/21/2018,7/6/2018,Call,2018,3.6
dj_751,Male,27,Markham,123,B400120,Third party Agent,A,1/21/2018,1/21/2019,Yes,2576,No,,,,,Yes,121,4/21/2018,6/30/2018,Web portal,2018,3.8
dj_1116,Male,20,Kitchener,124,B400121,Third party Agent,D,1/21/2018,1/21/2019,Yes,9887,Yes,22,3/21/2018,6/13/2018,32539,Yes,122,3/21/2018,4/19/2018,Call,2018,2.8
dj_1481,Female,32,Kitchener,125,B400122,Third party Agent,B,1/21/2018,1/21/2019,Yes,2344,No,,,,,Yes,123,3/21/2018,7/8/2018,Call,2018,3.5
dj_1846,Female,43,Toronto,126,B400124,Third party Agent,D,1/21/2018,1/21/2019,Yes,8829,No,,,,,Yes,125,5/21/2018,9/18/2018,E-mail,2018,3.4
dj_22,Male,22,Kitchener,127,B400128,Third party Agent,C,1/22/2018,1/22/2019,Yes,5891,No,,,,,Yes,129,3/22/2018,6/14/2018,E-mail,2018,3.1
dj_387,Female,59,Ottawa,128,B400129,Third party Agent,B,1/22/2018,1/22/2019,Yes,2218,No,,,,,Yes,130,4/22/2018,7/31/2018,Call,2018,2.7
dj_752,Female,48,Toronto,129,B400131,Third party Agent,B,1/22/2018,1/22/2019,No,4569,No,,,,,Yes,132,3/22/2018,5/27/2018,E-mail,2018,3.9
dj_1117,Male,61,Vaughan,130,B400126,Third party Agent,B,1/22/2018,1/22/2019,Yes,4795,Yes,23,4/22/2018,7/22/2018,60122,Yes,127,3/22/2018,4/14/2018,Web portal,2018,1.9
dj_1482,Male,44,Kitchener,131,B400127,Third party Agent,A,1/22/2018,1/22/2019,Yes,3995,No,,,,,Yes,128,3/22/2018,4/7/2018,E-mail,2018,3
dj_1847,Male,50,Hamilton,132,B400130,Third party Agent,B,1/22/2018,1/22/2019,Yes,5367,No,,,,,Yes,131,2/22/2018,4/8/2018,E-mail,2018,3
dj_23,Female,69,Vaughan,133,B400134,Third party Agent,A,1/23/2018,1/23/2019,Yes,1878,No,,,,,Yes,135,3/23/2018,5/8/2018,Call,2018,3.5
dj_388,Male,53,Kitchener,134,B400132,Third party Agent,B,1/23/2018,1/23/2019,No,1977,No,,,,,Yes,133,3/23/2018,6/30/2018,E-mail,2018,3.8
dj_753,Female,46,Windsor,135,B400133,Third party Agent,C,1/23/2018,1/23/2019,Yes,1719,No,,,,,Yes,134,4/23/2018,8/1/2018,E-mail,2018,3
dj_1118,Female,25,Vaughan,136,B400135,Third party Agent,A,1/23/2018,1/23/2019,Yes,1802,Yes,24,2/23/2018,5/27/2018,60178,Yes,136,5/23/2018,8/7/2018,E-mail,2018,2.3
dj_1483,Female,56,Mississauga,137,B400136,Third party Agent,D,1/23/2018,1/23/2019,Yes,1874,No,,,,,Yes,137,5/23/2018,6/18/2018,E-mail,2018,3.3
dj_1848,Male,35,Ottawa,138,B400137,Third party Agent,B,1/23/2018,1/23/2019,Yes,3086,No,,,,,Yes,138,5/23/2018,8/24/2018,E-mail,2018,3.9
dj_24,Female,42,Hamilton,139,B400142,Third party Agent,D,1/24/2018,1/24/2019,Yes,4492,No,,,,,Yes,143,4/24/2018,5/17/2018,E-mail,2018,3.3
dj_389,Female,25,Windsor,140,B400138,Third party Agent,D,1/24/2018,1/24/2019,Yes,5055,No,,,,,Yes,139,4/24/2018,6/29/2018,E-mail,2018,3.1
dj_754,Male,50,Toronto,141,B400143,Third party Agent,A,1/24/2018,1/24/2019,Yes,2818,No,,,,,Yes,144,5/24/2018,7/28/2018,E-mail,2018,3.8
dj_1119,Male,59,Hamilton,142,B400140,Third party Agent,A,1/24/2018,1/24/2019,Yes,3760,Yes,25,5/24/2018,12/23/2018,58522,Yes,141,3/24/2018,6/27/2018,Call,2018,2
dj_1484,Female,67,Vaughan,143,B400139,Third party Agent,C,1/24/2018,1/24/2019,Yes,4603,No,,,,,Yes,140,5/24/2018,8/15/2018,Call,2018,2.9
dj_1849,Male,48,Hamilton,144,B400141,Third party Agent,A,1/24/2018,1/24/2019,Yes,3939,No,,,,,Yes,142,3/24/2018,7/2/2018,Call,2018,3.6
dj_25,Male,60,Markham,145,B400148,Third party Agent,D,1/25/2018,1/25/2019,Yes,6518,No,,,,,Yes,149,5/25/2018,8/25/2018,E-mail,2018,3.8
dj_390,Female,23,Windsor,146,B400149,Third party Agent,C,1/25/2018,1/25/2019,Yes,4124,No,,,,,Yes,150,5/25/2018,7/10/2018,Call,2018,3.9
dj_755,Female,52,Vaughan,147,B400144,Third party Agent,B,1/25/2018,1/25/2019,Yes,3423,No,,,,,Yes,145,2/25/2018,6/2/2018,Web portal,2018,2.7
dj_1120,Female,42,Hamilton,148,B400145,Third party Agent,D,1/25/2018,1/25/2019,Yes,7876,Yes,26,5/25/2018,7/5/2018,45429,Yes,146,4/25/2018,6/19/2018,E-mail,2018,3
dj_1485,Female,20,Toronto,149,B400146,Third party Agent,B,1/25/2018,1/25/2019,Yes,5674,No,,,,,Yes,147,4/25/2018,8/2/2018,E-mail,2018,2.8
dj_1850,Female,34,Vaughan,150,B400147,Third party Agent,A,1/25/2018,1/25/2019,Yes,3789,No,,,,,Yes,148,4/25/2018,5/19/2018,E-mail,2018,3.1
