Policy id,Policy number,Policy start date,Policy end date,Profitability,Active year,Purchase method,Coverage type,Premium,Customer id
33,B400033,1/6/2018,1/6/2019,4115,2018,Third party Agent,B,4115,dj_736
34,B400035,1/6/2018,1/6/2019,-22014,2018,Third party Agent,C,2794,dj_1101
35,B400030,1/6/2018,1/6/2019,4505,2018,Third party Agent,D,4505,dj_1466
36,B400032,1/6/2018,1/6/2019,2695,2018,Third party Agent,A,2695,dj_1831
37,B400041,1/7/2018,1/7/2019,1244,2018,Third party Agent,A,1244,dj_7
38,B400039,1/7/2018,1/7/2019,3460,2018,Third party Agent,A,3460,dj_372
39,B400038,1/7/2018,1/7/2019,7587,2018,Third party Agent,D,7587,dj_737
40,B400036,1/7/2018,1/7/2019,-36914,2018,Third party Agent,B,4929,dj_1102
41,B400037,1/7/2018,1/7/2019,3544,2018,Third party Agent,A,3544,dj_1467
42,B400040,1/7/2018,1/7/2019,5421,2018,Third party Agent,C,5421,dj_1832
43,B400044,1/8/2018,1/8/2019,2203,2018,Third party Agent,B,2203,dj_8
44,B400043,1/8/2018,1/8/2019,2068,2018,Third party Agent,B,2068,dj_373
45,B400047,1/8/2018,1/8/2019,8318,2018,Third party Agent,D,8318,dj_738
46,B400045,1/8/2018,1/8/2019,-47896,2018,Third party Agent,A,1569,dj_1103
47,B400046,1/8/2018,1/8/2019,3927,2018,Third party Agent,A,3927,dj_1468
48,B400042,1/8/2018,1/8/2019,4884,2018,Third party Agent,C,4884,dj_1833
49,B400052,1/9/2018,1/9/2019,9143,2018,Third party Agent,D,9143,dj_9
50,B400051,1/9/2018,1/9/2019,5391,2018,Third party Agent,B,5391,dj_374
51,B400049,1/9/2018,1/9/2019,3171,2018,Third party Agent,B,3171,dj_739
52,B400050,1/9/2018,1/9/2019,-88734,2018,Third party Agent,A,3575,dj_1104
53,B400048,1/9/2018,1/9/2019,2179,2018,Third party Agent,B,2179,dj_1469
54,B400053,1/9/2018,1/9/2019,8089,2018,Third party Agent,D,8089,dj_1834
55,B400059,1/10/2018,1/10/2019,1611,2018,Third party Agent,D,1611,dj_10
56,B400054,1/10/2018,1/10/2019,5061,2018,Third party Agent,C,5061,dj_375
57,B400058,1/10/2018,1/10/2019,6573,2018,Third party Agent,D,6573,dj_740
58,B400056,1/10/2018,1/10/2019,-92713,2018,Third party Agent,C,3533,dj_1105
59,B400057,1/10/2018,1/10/2019,3545,2018,Third party Agent,A,3545,dj_1470
60,B400055,1/10/2018,1/10/2019,1840,2018,Third party Agent,B,1840,dj_1835
61,B400060,1/11/2018,1/11/2019,-93867,2018,Third party Agent,C,1690,dj_11
62,B400061,1/11/2018,1/11/2019,3434,2018,Third party Agent,A,3434,dj_376
63,B400062,1/11/2018,1/11/2019,4393,2018,Third party Agent,D,4393,dj_741
64,B400065,1/11/2018,1/11/2019,-64898,2018,Third party Agent,D,8797,dj_1106
65,B400063,1/11/2018,1/11/2019,5705,2018,Third party Agent,B,5705,dj_1471
66,B400064,1/11/2018,1/11/2019,4975,2018,Third party Agent,D,4975,dj_1836
67,B400070,1/12/2018,1/12/2019,3223,2018,Third party Agent,A,3223,dj_12
68,B400066,1/12/2018,1/12/2019,1955,2018,Third party Agent,C,1955,dj_377
69,B400071,1/12/2018,1/12/2019,1849,2018,Third party Agent,B,1849,dj_742
70,B400069,1/12/2018,1/12/2019,-8084,2018,Third party Agent,A,1840,dj_1107
71,B400067,1/12/2018,1/12/2019,9980,2018,Third party Agent,D,9980,dj_1472
72,B400068,1/12/2018,1/12/2019,3206,2018,Third party Agent,B,3206,dj_1837
73,B400075,1/13/2018,1/13/2019,1661,2018,Third party Agent,A,1661,dj_13
74,B400076,1/13/2018,1/13/2019,2679,2018,Third party Agent,B,2679,dj_378
75,B400073,1/13/2018,1/13/2019,2030,2018,Third party Agent,A,2030,dj_743
76,B400072,1/13/2018,1/13/2019,-86785,2018,Third party Agent,C,4991,dj_1108
77,B400077,1/13/2018,1/13/2019,5765,2018,Third party Agent,B,5765,dj_1473
78,B400074,1/13/2018,1/13/2019,2105,2018,Third party Agent,B,2105,dj_1838
79,B400080,1/14/2018,1/14/2019,2342,2018,Third party Agent,B,2342,dj_14
80,B400078,1/14/2018,1/14/2019,2465,2018,Third party Agent,C,2465,dj_379
81,B400081,1/14/2018,1/14/2019,3284,2018,Third party Agent,B,3284,dj_744
82,B400079,1/14/2018,1/14/2019,-79442,2018,Third party Agent,D,4600,dj_1109
83,B400082,1/14/2018,1/14/2019,2815,2018,Third party Agent,A,2815,dj_1474
84,B400083,1/14/2018,1/14/2019,5728,2018,Third party Agent,C,5728,dj_1839
85,B400085,1/15/2018,1/15/2019,4436,2018,Third party Agent,B,4436,dj_15
86,B400086,1/15/2018,1/15/2019,3263,2018,Third party Agent,C,3263,dj_380
87,B400084,1/15/2018,1/15/2019,3443,2018,Third party Agent,C,3443,dj_745
88,B400089,1/15/2018,1/15/2019,-13978,2018,Third party Agent,B,1702,dj_1110
89,B400087,1/15/2018,1/15/2019,4910,2018,Third party Agent,B,4910,dj_1475
90,B400088,1/15/2018,1/15/2019,2305,2018,Third party Agent,C,2305,dj_1840
91,B400094,1/16/2018,1/16/2019,2182,2018,Third party Agent,A,2182,dj_16
92,B400093,1/16/2018,1/16/2019,2886,2018,Third party Agent,A,2886,dj_381
93,B400095,1/16/2018,1/16/2019,3837,2018,Third party Agent,A,3837,dj_746
94,B400090,1/16/2018,1/16/2019,-1936,2018,Third party Agent,C,5628,dj_1111
95,B400091,1/16/2018,1/16/2019,2232,2018,Third party Agent,A,2232,dj_1476
96,B400092,1/16/2018,1/16/2019,4749,2018,Third party Agent,B,4749,dj_1841
97,B400099,1/17/2018,1/17/2019,5044,2018,Third party Agent,C,5044,dj_17
98,B400101,1/17/2018,1/17/2019,6705,2018,Third party Agent,D,6705,dj_382
99,B400097,1/17/2018,1/17/2019,3685,2018,Third party Agent,A,3685,dj_747
100,B400098,1/17/2018,1/17/2019,-40115,2018,Third party Agent,D,8543,dj_1112
101,B400100,1/17/2018,1/17/2019,4359,2018,Third party Agent,D,4359,dj_1477
102,B400096,1/17/2018,1/17/2019,4567,2018,Third party Agent,B,4567,dj_1842
103,B400107,1/18/2018,1/18/2019,2220,2018,Third party Agent,D,2220,dj_18
104,B400103,1/18/2018,1/18/2019,4456,2018,Third party Agent,B,4456,dj_383
105,B400105,1/18/2018,1/18/2019,4668,2018,Third party Agent,B,4668,dj_748
106,B400104,1/18/2018,1/18/2019,-26698,2018,Third party Agent,A,1739,dj_1113
107,B400106,1/18/2018,1/18/2019,3378,2018,Third party Agent,B,3378,dj_1478
108,B400102,1/18/2018,1/18/2019,7085,2018,Third party Agent,D,7085,dj_1843
109,B400113,1/19/2018,1/19/2019,3481,2018,Third party Agent,B,3481,dj_19
110,B400109,1/19/2018,1/19/2019,3441,2018,Third party Agent,B,3441,dj_384
111,B400112,1/19/2018,1/19/2019,8841,2018,Third party Agent,D,8841,dj_749
112,B400108,1/19/2018,1/19/2019,-2699,2018,Third party Agent,D,8879,dj_1114
113,B400110,1/19/2018,1/19/2019,2135,2018,Third party Agent,C,2135,dj_1479
114,B400111,1/19/2018,1/19/2019,2409,2018,Third party Agent,C,2409,dj_1844
115,B400118,1/20/2018,1/20/2019,9887,2018,Third party Agent,D,9887,dj_20
116,B400116,1/20/2018,1/20/2019,4097,2018,Third party Agent,B,4097,dj_385
117,B400119,1/20/2018,1/20/2019,2763,2018,Third party Agent,D,2763,dj_750
118,B400117,1/20/2018,1/20/2019,-77467,2018,Third party Agent,B,3989,dj_1115
119,B400115,1/20/2018,1/20/2019,2489,2018,Third party Agent,A,2489,dj_1480
120,B400114,1/20/2018,1/20/2019,3168,2018,Third party Agent,A,3168,dj_1845
121,B400125,1/21/2018,1/21/2019,4951,2018,Third party Agent,B,4951,dj_21
122,B400123,1/21/2018,1/21/2019,9635,2018,Third party Agent,D,9635,dj_386
123,B400120,1/21/2018,1/21/2019,2576,2018,Third party Agent,A,2576,dj_751
124,B400121,1/21/2018,1/21/2019,-22652,2018,Third party Agent,D,9887,dj_1116
125,B400122,1/21/2018,1/21/2019,2344,2018,Third party Agent,B,2344,dj_1481
126,B400124,1/21/2018,1/21/2019,8829,2018,Third party Agent,D,8829,dj_1846
127,B400128,1/22/2018,1/22/2019,5891,2018,Third party Agent,C,5891,dj_22
128,B400129,1/22/2018,1/22/2019,2218,2018,Third party Agent,B,2218,dj_387
129,B400131,1/22/2018,1/22/2019,4569,2018,Third party Agent,B,4569,dj_752
130,B400126,1/22/2018,1/22/2019,-55327,2018,Third party Agent,B,4795,dj_1117
131,B400127,1/22/2018,1/22/2019,3995,2018,Third party Agent,A,3995,dj_1482
132,B400130,1/22/2018,1/22/2019,5367,2018,Third party Agent,B,5367,dj_1847
133,B400134,1/23/2018,1/23/2019,1878,2018,Third party Agent,A,1878,dj_23
134,B400132,1/23/2018,1/23/2019,1977,2018,Third party Agent,B,1977,dj_388
135,B400133,1/23/2018,1/23/2019,1719,2018,Third party Agent,C,1719,dj_753
136,B400135,1/23/2018,1/23/2019,-58376,2018,Third party Agent,A,1802,dj_1118
137,B400136,1/23/2018,1/23/2019,1874,2018,Third party Agent,D,1874,dj_1483
138,B400137,1/23/2018,1/23/2019,3086,2018,Third party Agent,B,3086,dj_1848
139,B400142,1/24/2018,1/24/2019,4492,2018,Third party Agent,D,4492,dj_24
140,B400138,1/24/2018,1/24/2019,5055,2018,Third party Agent,D,5055,dj_389
141,B400143,1/24/2018,1/24/2019,2818,2018,Third party Agent,A,2818,dj_754
142,B400140,1/24/2018,1/24/2019,-54762,2018,Third party Agent,A,3760,dj_1119
143,B400139,1/24/2018,1/24/2019,4603,2018,Third party Agent,C,4603,dj_1484
144,B400141,1/24/2018,1/24/2019,3939,2018,Third party Agent,A,3939,dj_1849
145,B400148,1/25/2018,1/25/2019,6518,2018,Third party Agent,D,6518,dj_25
146,B400149,1/25/2018,1/25/2019,4124,2018,Third party Agent,C,4124,dj_390
147,B400144,1/25/2018,1/25/2019,3423,2018,Third party Agent,B,3423,dj_755
148,B400145,1/25/2018,1/25/2019,-37553,2018,Third party Agent,D,7876,dj_1120
149,B400146,1/25/2018,1/25/2019,5674,2018,Third party Agent,B,5674,dj_1485
150,B400147,1/25/2018,1/25/2019,3789,2018,Third party Agent,A,3789,dj_1850
151,B400151,1/26/2018,1/26/2019,1620,2018,Third party Agent,B,1620,dj_26
152,B400152,1/26/2018,1/26/2019,4225,2018,Third party Agent,D,4225,dj_391
153,B400155,1/26/2018,1/26/2019,3559,2018,Third party Agent,A,3559,dj_756
154,B400153,1/26/2018,1/26/2019,-13185,2018,Third party Agent,B,2955,dj_1121
155,B400150,1/26/2018,1/26/2019,8946,2018,Third party Agent,D,8946,dj_1486
156,B400154,1/26/2018,1/26/2019,3849,2018,Third party Agent,C,3849,dj_1851
157,B400158,1/27/2018,1/27/2019,2772,2018,Third party Agent,A,2772,dj_27
158,B400159,1/27/2018,1/27/2019,2807,2018,Third party Agent,D,2807,dj_392
159,B400156,1/27/2018,1/27/2019,2343,2018,Third party Agent,C,2343,dj_757
160,B400160,1/27/2018,1/27/2019,-16717,2018,Third party Agent,C,4727,dj_1122
161,B400157,1/27/2018,1/27/2019,2704,2018,Third party Agent,A,2704,dj_1487
162,B400161,1/27/2018,1/27/2019,1467,2018,Third party Agent,A,1467,dj_1852
163,B400164,1/28/2018,1/28/2019,4447,2018,Third party Agent,C,4447,dj_28
164,B400162,1/28/2018,1/28/2019,2300,2018,Third party Agent,A,2300,dj_393
165,B400166,1/28/2018,1/28/2019,3298,2018,Third party Agent,B,3298,dj_758
166,B400163,1/28/2018,1/28/2019,-16513,2018,Third party Agent,D,6394,dj_1123
167,B400165,1/28/2018,1/28/2019,8201,2018,Third party Agent,D,8201,dj_1488
168,B400167,1/28/2018,1/28/2019,1635,2018,Third party Agent,B,1635,dj_1853
169,B400172,1/29/2018,1/29/2019,1837,2018,Third party Agent,D,1837,dj_29
170,B400173,1/29/2018,1/29/2019,3085,2018,Third party Agent,C,3085,dj_394
171,B400170,1/29/2018,1/29/2019,1210,2018,Third party Agent,A,1210,dj_759
172,B400171,1/29/2018,1/29/2019,-72653,2018,Third party Agent,A,2472,dj_1124
173,B400168,1/29/2018,1/29/2019,5773,2018,Third party Agent,D,5773,dj_1489
174,B400169,1/29/2018,1/29/2019,1933,2018,Third party Agent,A,1933,dj_1854
175,B400177,1/30/2018,1/30/2019,2369,2018,Third party Agent,D,2369,dj_30
176,B400175,1/30/2018,1/30/2019,3629,2018,Third party Agent,C,3629,dj_395
177,B400179,1/30/2018,1/30/2019,4053,2018,Third party Agent,C,4053,dj_760
178,B400176,1/30/2018,1/30/2019,-11667,2018,Third party Agent,D,3245,dj_1125
179,B400174,1/30/2018,1/30/2019,1955,2018,Third party Agent,C,1955,dj_1490
180,B400178,1/30/2018,1/30/2019,3565,2018,Third party Agent,C,3565,dj_1855
181,B400182,1/31/2018,1/31/2019,2382,2018,Third party Agent,A,2382,dj_31
182,B400184,1/31/2018,1/31/2019,8834,2018,Third party Agent,D,8834,dj_396
183,B400183,1/31/2018,1/31/2019,4896,2018,Third party Agent,B,4896,dj_761
184,B400180,1/31/2018,1/31/2019,-48187,2018,Third party Agent,C,4355,dj_1126
185,B400181,1/31/2018,1/31/2019,3618,2018,Third party Agent,C,3618,dj_1491
186,B400185,1/31/2018,1/31/2019,3930,2018,Third party Agent,A,3930,dj_1856
187,B400189,2/1/2018,2/1/2019,3854,2018,Third party Agent,B,3854,dj_32
188,B400188,2/1/2018,2/1/2019,2753,2018,Third party Agent,A,2753,dj_397
189,B400191,2/1/2018,2/1/2019,3352,2018,Third party Agent,D,3352,dj_762
190,B400190,2/1/2018,2/1/2019,-75401,2018,Third party Agent,A,3628,dj_1127
191,B400187,2/1/2018,2/1/2019,3132,2018,Third party Agent,C,3132,dj_1492
192,B400186,2/1/2018,2/1/2019,2806,2018,Third party Agent,A,2806,dj_1857
193,B400196,2/2/2018,2/2/2019,2984,2018,Third party Agent,B,2984,dj_33
194,B400197,2/2/2018,2/2/2019,1993,2018,Third party Agent,A,1993,dj_398
195,B400193,2/2/2018,2/2/2019,5345,2018,Third party Agent,B,5345,dj_763
196,B400195,2/2/2018,2/2/2019,-15161,2018,Third party Agent,C,1564,dj_1128
197,B400192,2/2/2018,2/2/2019,1887,2018,Third party Agent,C,1887,dj_1493
198,B400194,2/2/2018,2/2/2019,4849,2018,Third party Agent,C,4849,dj_1858
199,B400198,2/3/2018,2/3/2019,3188,2018,Third party Agent,C,3188,dj_34
200,B400199,2/3/2018,2/3/2019,8311,2018,Third party Agent,D,8311,dj_399
201,B400203,2/3/2018,2/3/2019,3237,2018,Third party Agent,A,3237,dj_764
202,B400200,2/3/2018,2/3/2019,-48627,2018,Third party Agent,B,4801,dj_1129
203,B400202,2/3/2018,2/3/2019,3835,2018,Third party Agent,B,3835,dj_1494
204,B400201,2/3/2018,2/3/2019,4703,2018,Third party Agent,B,4703,dj_1859
205,B400208,2/4/2018,2/4/2019,9468,2018,Third party Agent,D,9468,dj_35
206,B400206,2/4/2018,2/4/2019,3570,2018,Third party Agent,B,3570,dj_400
207,B400205,2/4/2018,2/4/2019,3187,2018,Third party Agent,A,3187,dj_765
208,B400207,2/4/2018,2/4/2019,-17544,2018,Third party Agent,A,3051,dj_1130
209,B400204,2/4/2018,2/4/2019,1684,2018,Third party Agent,A,1684,dj_1495
210,B400209,2/4/2018,2/4/2019,9538,2018,Third party Agent,D,9538,dj_1860
211,B400214,2/5/2018,2/5/2019,1520,2018,Third party Agent,A,1520,dj_36
212,B400210,2/5/2018,2/5/2019,3981,2018,Third party Agent,A,3981,dj_401
213,B400215,2/5/2018,2/5/2019,3930,2018,Third party Agent,C,3930,dj_766
214,B400211,2/5/2018,2/5/2019,-601,2018,Third party Agent,B,4258,dj_1131
215,B400212,2/5/2018,2/5/2019,2162,2018,Third party Agent,A,2162,dj_1496
216,B400213,2/5/2018,2/5/2019,1415,2018,Third party Agent,A,1415,dj_1861
217,B400216,2/6/2018,2/6/2019,2731,2018,Third party Agent,A,2731,dj_37
218,B400219,2/6/2018,2/6/2019,2139,2018,Third party Agent,A,2139,dj_402
219,B400218,2/6/2018,2/6/2019,7035,2018,Third party Agent,D,7035,dj_767
220,B400217,2/6/2018,2/6/2019,-86124,2018,Third party Agent,A,2916,dj_1132
221,B400220,2/6/2018,2/6/2019,3090,2018,Third party Agent,C,3090,dj_1497
222,B400221,2/6/2018,2/6/2019,1994,2018,Third party Agent,A,1994,dj_1862
223,B400225,2/7/2018,2/7/2019,4256,2018,Third party Agent,B,4256,dj_38
224,B400223,2/7/2018,2/7/2019,1895,2018,Third party Agent,A,1895,dj_403
225,B400224,2/7/2018,2/7/2019,2398,2018,Third party Agent,C,2398,dj_768
226,B400226,2/7/2018,2/7/2019,-81090,2018,Third party Agent,A,3894,dj_1133
227,B400227,2/7/2018,2/7/2019,5641,2018,Third party Agent,D,5641,dj_1498
228,B400222,2/7/2018,2/7/2019,3544,2018,Third party Agent,A,3544,dj_1863
229,B400231,2/8/2018,2/8/2019,4956,2018,Third party Agent,D,4956,dj_39
230,B400228,2/8/2018,2/8/2019,3859,2018,Third party Agent,A,3859,dj_404
231,B400229,2/8/2018,2/8/2019,6066,2018,Third party Agent,D,6066,dj_769
232,B400232,2/8/2018,2/8/2019,-96444,2018,Third party Agent,D,2158,dj_1134
233,B400230,2/8/2018,2/8/2019,2621,2018,Third party Agent,B,2621,dj_1499
234,B400233,2/8/2018,2/8/2019,3125,2018,Third party Agent,B,3125,dj_1864
235,B400237,2/9/2018,2/9/2019,7882,2018,Third party Agent,D,7882,dj_40
236,B400235,2/9/2018,2/9/2019,2784,2018,Third party Agent,A,2784,dj_405
237,B400239,2/9/2018,2/9/2019,8218,2018,Third party Agent,D,8218,dj_770
238,B400234,2/9/2018,2/9/2019,-38331,2018,Third party Agent,D,9841,dj_1135
239,B400238,2/9/2018,2/9/2019,1422,2018,Third party Agent,A,1422,dj_1500
240,B400236,2/9/2018,2/9/2019,5644,2018,Third party Agent,D,5644,dj_1865
241,B400245,2/10/2018,2/10/2019,1505,2018,Third party Agent,B,1505,dj_41
242,B400242,2/10/2018,2/10/2019,3977,2018,Third party Agent,A,3977,dj_406
243,B400241,2/10/2018,2/10/2019,4613,2018,Third party Agent,D,4613,dj_771
244,B400244,2/10/2018,2/10/2019,-13157,2018,Third party Agent,A,1399,dj_1136
245,B400240,2/10/2018,2/10/2019,3276,2018,Third party Agent,C,3276,dj_1501
246,B400243,2/10/2018,2/10/2019,1397,2018,Third party Agent,A,1397,dj_1866
247,B400250,2/11/2018,2/11/2019,9157,2018,Third party Agent,D,9157,dj_42
248,B400246,2/11/2018,2/11/2019,7553,2018,Third party Agent,D,7553,dj_407
249,B400249,2/11/2018,2/11/2019,4305,2018,Third party Agent,B,4305,dj_772
250,B400248,2/11/2018,2/11/2019,-87534,2018,Third party Agent,D,7076,dj_1137
251,B400251,2/11/2018,2/11/2019,2784,2018,Third party Agent,C,2784,dj_1502
252,B400247,2/11/2018,2/11/2019,4220,2018,Third party Agent,C,4220,dj_1867
253,B400257,2/12/2018,2/12/2019,2855,2018,Third party Agent,C,2855,dj_43
254,B400256,2/12/2018,2/12/2019,1797,2018,Third party Agent,C,1797,dj_408
255,B400254,2/12/2018,2/12/2019,3717,2018,Third party Agent,D,3717,dj_773
256,B400253,2/12/2018,2/12/2019,-85487,2018,Third party Agent,A,1739,dj_1138
257,B400255,2/12/2018,2/12/2019,1378,2018,Third party Agent,A,1378,dj_1503
258,B400252,2/12/2018,2/12/2019,2960,2018,Third party Agent,A,2960,dj_1868
259,B400262,2/13/2018,2/13/2019,2523,2018,Third party Agent,C,2523,dj_44
260,B400258,2/13/2018,2/13/2019,4161,2018,Third party Agent,B,4161,dj_409
261,B400263,2/13/2018,2/13/2019,6952,2018,Third party Agent,D,6952,dj_774
262,B400261,2/13/2018,2/13/2019,-51166,2018,Third party Agent,D,4043,dj_1139
263,B400259,2/13/2018,2/13/2019,2295,2018,Third party Agent,D,2295,dj_1504
264,B400260,2/13/2018,2/13/2019,3869,2018,Third party Agent,D,3869,dj_1869
265,B400269,2/14/2018,2/14/2019,3233,2018,Third party Agent,A,3233,dj_45
266,B400266,2/14/2018,2/14/2019,4650,2018,Third party Agent,B,4650,dj_410
267,B400264,2/14/2018,2/14/2019,2905,2018,Third party Agent,C,2905,dj_775
268,B400267,2/14/2018,2/14/2019,-58655,2018,Third party Agent,B,5957,dj_1140
269,B400265,2/14/2018,2/14/2019,1512,2018,Third party Agent,A,1512,dj_1505
270,B400268,2/14/2018,2/14/2019,7748,2018,Third party Agent,D,7748,dj_1870
271,B400275,2/15/2018,2/15/2019,2827,2018,Third party Agent,A,2827,dj_46
272,B400270,2/15/2018,2/15/2019,5727,2018,Third party Agent,C,5727,dj_411
273,B400274,2/15/2018,2/15/2019,5181,2018,Third party Agent,B,5181,dj_776
274,B400271,2/15/2018,2/15/2019,-66574,2018,Third party Agent,D,6962,dj_1141
275,B400272,2/15/2018,2/15/2019,5825,2018,Third party Agent,B,5825,dj_1506
276,B400273,2/15/2018,2/15/2019,3323,2018,Third party Agent,B,3323,dj_1871
277,B400281,2/16/2018,2/16/2019,9884,2018,Third party Agent,D,9884,dj_47
278,B400276,2/16/2018,2/16/2019,3718,2018,Third party Agent,A,3718,dj_412
279,B400277,2/16/2018,2/16/2019,4221,2018,Third party Agent,B,4221,dj_777
280,B400278,2/16/2018,2/16/2019,3104,2018,Third party Agent,D,3104,dj_1142
281,B400279,2/16/2018,2/16/2019,2737,2018,Third party Agent,B,2737,dj_1507
282,B400280,2/16/2018,2/16/2019,5687,2018,Third party Agent,C,5687,dj_1872
283,B400285,2/17/2018,2/17/2019,6752,2018,Third party Agent,D,6752,dj_48
284,B400282,2/17/2018,2/17/2019,2840,2018,Third party Agent,C,2840,dj_413
285,B400286,2/17/2018,2/17/2019,1666,2018,Third party Agent,B,1666,dj_778
286,B400287,2/17/2018,2/17/2019,2980,2018,Third party Agent,B,2980,dj_1143
287,B400283,2/17/2018,2/17/2019,4759,2018,Third party Agent,C,4759,dj_1508
288,B400284,2/17/2018,2/17/2019,5609,2018,Third party Agent,B,5609,dj_1873
289,B400293,2/18/2018,2/18/2019,1686,2018,Third party Agent,B,1686,dj_49
290,B400292,2/18/2018,2/18/2019,3625,2018,Third party Agent,A,3625,dj_414
291,B400290,2/18/2018,2/18/2019,4362,2018,Third party Agent,C,4362,dj_779
292,B400288,2/18/2018,2/18/2019,5884,2018,Third party Agent,C,5884,dj_1144
293,B400289,2/18/2018,2/18/2019,2568,2018,Third party Agent,A,2568,dj_1509
294,B400291,2/18/2018,2/18/2019,2700,2018,Third party Agent,C,2700,dj_1874
295,B400299,2/19/2018,2/19/2019,5429,2018,Third party Agent,D,5429,dj_50
296,B400294,2/19/2018,2/19/2019,3612,2018,Third party Agent,C,3612,dj_415
297,B400297,2/19/2018,2/19/2019,5958,2018,Third party Agent,B,5958,dj_780
298,B400298,2/19/2018,2/19/2019,3698,2018,Third party Agent,A,3698,dj_1145
299,B400295,2/19/2018,2/19/2019,8937,2018,Third party Agent,D,8937,dj_1510
300,B400296,2/19/2018,2/19/2019,5417,2018,Third party Agent,C,5417,dj_1875
301,B400301,2/20/2018,2/20/2019,1750,2018,Third party Agent,B,1750,dj_51
302,B400300,2/20/2018,2/20/2019,4521,2018,Third party Agent,B,4521,dj_416
303,B400303,2/20/2018,2/20/2019,2309,2018,Third party Agent,A,2309,dj_781
304,B400305,2/20/2018,2/20/2019,3750,2018,Third party Agent,A,3750,dj_1146
305,B400304,2/20/2018,2/20/2019,2672,2018,Third party Agent,A,2672,dj_1511
306,B400302,2/20/2018,2/20/2019,9162,2018,Third party Agent,D,9162,dj_1876
307,B400307,2/21/2018,2/21/2019,9482,2018,Third party Agent,D,9482,dj_52
308,B400306,2/21/2018,2/21/2019,3734,2018,Third party Agent,B,3734,dj_417
309,B400310,2/21/2018,2/21/2019,2275,2018,Third party Agent,D,2275,dj_782
310,B400308,2/21/2018,2/21/2019,2610,2018,Third party Agent,D,2610,dj_1147
311,B400311,2/21/2018,2/21/2019,5910,2018,Third party Agent,C,5910,dj_1512
312,B400309,2/21/2018,2/21/2019,1499,2018,Third party Agent,A,1499,dj_1877
313,B400317,2/22/2018,2/22/2019,3634,2018,Third party Agent,A,3634,dj_53
314,B400316,2/22/2018,2/22/2019,6812,2018,Third party Agent,D,6812,dj_418
315,B400313,2/22/2018,2/22/2019,2885,2018,Third party Agent,A,2885,dj_783
316,B400314,2/22/2018,2/22/2019,4923,2018,Third party Agent,D,4923,dj_1148
317,B400312,2/22/2018,2/22/2019,2878,2018,Third party Agent,A,2878,dj_1513
318,B400315,2/22/2018,2/22/2019,3517,2018,Third party Agent,A,3517,dj_1878
