Complaint id,Complaint file date,Complaint resolution date,Complaint resolution time,Complaint communication channel,Customer id
45,3/8/2018,6/27/2018,111,Call,dj_8
46,4/8/2018,5/11/2018,33,E-mail,dj_1103
47,4/8/2018,8/5/2018,119,Call,dj_1468
48,5/8/2018,7/8/2018,61,Call,dj_738
49,4/9/2018,4/27/2018,18,E-mail,dj_1469
50,4/9/2018,6/27/2018,79,E-mail,dj_739
51,2/9/2018,4/11/2018,61,Call,dj_1104
52,2/9/2018,3/13/2018,32,E-mail,dj_374
53,2/9/2018,5/10/2018,90,E-mail,dj_9
54,3/9/2018,6/7/2018,90,Call,dj_1834
55,2/10/2018,2/27/2018,17,Web portal,dj_375
56,3/10/2018,6/27/2018,109,E-mail,dj_1835
57,4/10/2018,7/29/2018,110,E-mail,dj_1105
58,2/10/2018,4/7/2018,56,Call,dj_1470
59,3/10/2018,4/25/2018,46,E-mail,dj_740
60,5/10/2018,8/24/2018,106,Call,dj_10
61,3/11/2018,4/6/2018,26,Call,dj_11
62,4/11/2018,6/20/2018,70,E-mail,dj_376
63,5/11/2018,7/5/2018,55,E-mail,dj_741
64,3/11/2018,5/13/2018,63,Call,dj_1471
65,4/11/2018,6/24/2018,74,Call,dj_1836
66,5/11/2018,8/5/2018,86,E-mail,dj_1106
67,3/12/2018,7/5/2018,115,Call,dj_377
68,4/12/2018,6/27/2018,76,E-mail,dj_1472
69,5/12/2018,5/29/2018,17,E-mail,dj_1837
70,2/12/2018,6/6/2018,114,E-mail,dj_1107
71,2/12/2018,5/8/2018,85,Call,dj_12
72,2/12/2018,3/3/2018,19,E-mail,dj_742
73,2/13/2018,4/29/2018,75,Web portal,dj_1108
74,2/13/2018,3/13/2018,28,Web portal,dj_743
75,3/13/2018,4/2/2018,20,Call,dj_1838
76,2/13/2018,3/19/2018,34,Call,dj_13
77,3/13/2018,4/2/2018,20,Call,dj_378
78,4/13/2018,6/29/2018,77,E-mail,dj_1473
79,2/14/2018,3/10/2018,24,Call,dj_379
80,3/14/2018,6/6/2018,84,E-mail,dj_1109
81,4/14/2018,7/4/2018,81,Call,dj_14
82,4/14/2018,6/14/2018,61,E-mail,dj_744
83,5/14/2018,8/2/2018,80,Call,dj_1474
84,5/14/2018,6/4/2018,21,E-mail,dj_1839
85,3/15/2018,4/13/2018,29,Web portal,dj_745
86,4/15/2018,6/22/2018,68,Call,dj_15
87,5/15/2018,6/28/2018,44,E-mail,dj_380
88,2/15/2018,5/10/2018,84,Call,dj_1475
89,2/15/2018,6/12/2018,117,Call,dj_1840
90,4/15/2018,8/6/2018,113,E-mail,dj_1110
91,4/16/2018,6/21/2018,66,Call,dj_1111
92,4/16/2018,8/8/2018,114,Web portal,dj_1476
93,5/16/2018,8/15/2018,91,E-mail,dj_1841
94,5/16/2018,7/6/2018,51,E-mail,dj_381
95,2/16/2018,5/12/2018,85,E-mail,dj_16
96,4/16/2018,6/11/2018,56,Call,dj_746
97,3/17/2018,7/2/2018,107,Web portal,dj_1842
98,5/17/2018,7/16/2018,60,E-mail,dj_747
99,2/17/2018,3/6/2018,17,Call,dj_1112
100,2/17/2018,4/18/2018,60,E-mail,dj_17
101,3/17/2018,4/4/2018,18,Call,dj_1477
102,4/17/2018,6/30/2018,74,E-mail,dj_382
103,2/18/2018,4/3/2018,44,Call,dj_1843
104,2/18/2018,3/7/2018,17,Web portal,dj_383
105,2/18/2018,4/3/2018,44,E-mail,dj_1113
106,3/18/2018,4/9/2018,22,Call,dj_748
107,4/18/2018,5/25/2018,37,Call,dj_1478
108,4/18/2018,7/21/2018,94,Call,dj_18
109,3/19/2018,6/12/2018,85,Web portal,dj_1114
110,3/19/2018,4/7/2018,19,Call,dj_384
111,4/19/2018,6/16/2018,58,Web portal,dj_1479
112,5/19/2018,7/7/2018,49,E-mail,dj_1844
113,5/19/2018,7/21/2018,63,E-mail,dj_749
114,2/19/2018,4/16/2018,56,E-mail,dj_19
115,2/20/2018,4/8/2018,47,Web portal,dj_1845
116,4/20/2018,8/13/2018,115,Web portal,dj_1480
117,4/20/2018,5/19/2018,29,Call,dj_385
118,3/20/2018,5/23/2018,64,E-mail,dj_1115
119,3/20/2018,5/25/2018,66,Call,dj_20
120,4/20/2018,5/19/2018,29,E-mail,dj_750
121,4/21/2018,6/30/2018,70,Web portal,dj_751
122,3/21/2018,4/19/2018,29,Call,dj_1116
123,3/21/2018,7/8/2018,109,Call,dj_1481
124,3/21/2018,7/6/2018,107,Call,dj_386
125,5/21/2018,9/18/2018,120,E-mail,dj_1846
126,5/21/2018,7/13/2018,53,E-mail,dj_21
127,3/22/2018,4/14/2018,23,Web portal,dj_1117
128,3/22/2018,4/7/2018,16,E-mail,dj_1482
129,3/22/2018,6/14/2018,84,E-mail,dj_22
130,4/22/2018,7/31/2018,100,Call,dj_387
131,2/22/2018,4/8/2018,45,E-mail,dj_1847
132,3/22/2018,5/27/2018,66,E-mail,dj_752
133,3/23/2018,6/30/2018,99,E-mail,dj_388
134,4/23/2018,8/1/2018,100,E-mail,dj_753
135,3/23/2018,5/8/2018,46,Call,dj_23
136,5/23/2018,8/7/2018,76,E-mail,dj_1118
137,5/23/2018,6/18/2018,26,E-mail,dj_1483
138,5/23/2018,8/24/2018,93,E-mail,dj_1848
139,4/24/2018,6/29/2018,66,E-mail,dj_389
140,5/24/2018,8/15/2018,83,Call,dj_1484
141,3/24/2018,6/27/2018,95,Call,dj_1119
142,3/24/2018,7/2/2018,100,Call,dj_1849
143,4/24/2018,5/17/2018,23,E-mail,dj_24
144,5/24/2018,7/28/2018,65,E-mail,dj_754
145,2/25/2018,6/2/2018,97,Web portal,dj_755
146,4/25/2018,6/19/2018,55,E-mail,dj_1120
147,4/25/2018,8/2/2018,99,E-mail,dj_1485
148,4/25/2018,5/19/2018,24,E-mail,dj_1850
149,5/25/2018,8/25/2018,92,E-mail,dj_25
150,5/25/2018,7/10/2018,46,Call,dj_390
151,2/26/2018,4/23/2018,56,Call,dj_1486
152,5/26/2018,7/24/2018,59,Web portal,dj_26
153,5/26/2018,8/8/2018,74,Web portal,dj_391
154,2/26/2018,3/29/2018,31,Call,dj_1121
155,4/26/2018,6/24/2018,59,Call,dj_1851
156,4/26/2018,7/22/2018,87,Call,dj_756
157,2/27/2018,5/27/2018,89,Web portal,dj_757
158,4/27/2018,7/10/2018,74,E-mail,dj_1487
159,5/27/2018,9/11/2018,107,Call,dj_27
160,5/27/2018,8/13/2018,78,Call,dj_392
161,3/27/2018,5/14/2018,48,E-mail,dj_1122
162,4/27/2018,6/9/2018,43,E-mail,dj_1852
163,2/28/2018,4/23/2018,54,Call,dj_393
164,4/28/2018,6/8/2018,41,E-mail,dj_1123
165,5/28/2018,6/17/2018,20,Call,dj_28
166,2/28/2018,3/31/2018,31,Call,dj_1488
167,3/28/2018,6/21/2018,85,E-mail,dj_758
168,4/28/2018,7/14/2018,77,E-mail,dj_1853
169,3/29/2018,6/9/2018,72,E-mail,dj_1489
170,3/29/2018,5/22/2018,54,E-mail,dj_1854
171,4/29/2018,5/23/2018,24,E-mail,dj_759
172,3/29/2018,5/28/2018,60,E-mail,dj_1124
173,3/29/2018,4/16/2018,18,Call,dj_29
174,3/29/2018,7/20/2018,113,E-mail,dj_394
175,3/30/2018,6/8/2018,70,E-mail,dj_1490
176,4/30/2018,6/11/2018,42,E-mail,dj_395
177,4/30/2018,5/30/2018,30,E-mail,dj_1125
178,4/30/2018,8/4/2018,96,E-mail,dj_30
179,5/30/2018,8/7/2018,69,E-mail,dj_1855
180,5/30/2018,7/4/2018,35,E-mail,dj_760
181,2/28/2018,6/22/2018,114,E-mail,dj_1126
182,2/28/2018,4/6/2018,37,Call,dj_1491
183,2/28/2018,5/10/2018,71,Call,dj_31
184,2/28/2018,5/10/2018,71,Web portal,dj_761
185,5/31/2018,6/18/2018,18,Call,dj_396
186,4/30/2018,6/9/2018,40,Call,dj_1856
187,4/1/2018,4/17/2018,16,E-mail,dj_1857
188,5/1/2018,6/28/2018,58,E-mail,dj_1492
189,6/1/2018,9/29/2018,120,Call,dj_397
190,4/1/2018,4/28/2018,27,E-mail,dj_32
191,6/1/2018,7/28/2018,57,E-mail,dj_1127
192,6/1/2018,6/27/2018,26,E-mail,dj_762
193,4/2/2018,5/18/2018,46,E-mail,dj_1493
194,4/2/2018,4/26/2018,24,E-mail,dj_763
195,5/2/2018,7/19/2018,78,E-mail,dj_1858
196,4/2/2018,6/28/2018,87,Call,dj_1128
197,5/2/2018,8/24/2018,114,E-mail,dj_33
198,5/2/2018,5/20/2018,18,E-mail,dj_398
199,4/3/2018,7/8/2018,96,E-mail,dj_34
200,5/3/2018,6/16/2018,44,E-mail,dj_399
201,6/3/2018,8/19/2018,77,Call,dj_1129
202,3/3/2018,6/9/2018,98,E-mail,dj_1859
203,4/3/2018,5/3/2018,30,Call,dj_1494
204,4/3/2018,7/24/2018,112,Call,dj_764
205,3/4/2018,5/24/2018,81,Web portal,dj_1495
206,5/4/2018,7/28/2018,85,E-mail,dj_765
207,6/4/2018,7/13/2018,39,Web portal,dj_400
208,3/4/2018,4/13/2018,40,E-mail,dj_1130
209,5/4/2018,7/9/2018,66,E-mail,dj_35
210,6/4/2018,10/2/2018,120,Call,dj_1860
211,4/5/2018,4/25/2018,20,E-mail,dj_401
212,3/5/2018,4/29/2018,55,E-mail,dj_1131
213,3/5/2018,6/30/2018,117,E-mail,dj_1496
214,5/5/2018,6/29/2018,55,E-mail,dj_1861
215,5/5/2018,8/20/2018,107,Call,dj_36
216,5/5/2018,7/11/2018,67,E-mail,dj_766
217,3/6/2018,3/25/2018,19,Web portal,dj_37
218,5/6/2018,8/8/2018,94,E-mail,dj_1132
219,6/6/2018,9/5/2018,91,Call,dj_767
220,3/6/2018,4/9/2018,34,Call,dj_402
221,4/6/2018,4/24/2018,18,E-mail,dj_1497
222,5/6/2018,5/25/2018,19,Call,dj_1862
223,3/7/2018,4/28/2018,52,Web portal,dj_1863
224,4/7/2018,7/15/2018,99,E-mail,dj_403
225,3/7/2018,5/13/2018,67,Call,dj_768
226,4/7/2018,6/30/2018,84,Call,dj_38
227,6/7/2018,9/16/2018,101,E-mail,dj_1133
228,6/7/2018,6/29/2018,22,E-mail,dj_1498
229,4/8/2018,6/12/2018,65,E-mail,dj_404
230,5/8/2018,7/9/2018,62,E-mail,dj_769
231,6/8/2018,9/29/2018,113,Call,dj_1499
232,3/8/2018,4/28/2018,51,Call,dj_39
233,6/8/2018,6/25/2018,17,Call,dj_1134
234,6/8/2018,7/16/2018,38,E-mail,dj_1864
235,5/9/2018,9/6/2018,120,E-mail,dj_1135
236,6/9/2018,9/10/2018,93,Web portal,dj_405
237,3/9/2018,5/9/2018,61,Call,dj_1865
238,3/9/2018,5/5/2018,57,E-mail,dj_40
239,4/9/2018,6/8/2018,60,E-mail,dj_1500
240,4/9/2018,6/6/2018,58,Call,dj_770
241,3/10/2018,6/28/2018,110,Web portal,dj_1501
242,3/10/2018,5/9/2018,60,E-mail,dj_771
243,4/10/2018,5/26/2018,46,E-mail,dj_406
244,5/10/2018,6/3/2018,24,Call,dj_1866
245,6/10/2018,7/7/2018,27,E-mail,dj_1136
246,6/10/2018,9/1/2018,83,E-mail,dj_41
247,4/11/2018,7/2/2018,82,E-mail,dj_407
248,6/11/2018,8/10/2018,60,Call,dj_1867
249,4/11/2018,7/27/2018,107,E-mail,dj_1137
250,4/11/2018,5/11/2018,30,E-mail,dj_772
251,5/11/2018,6/5/2018,25,E-mail,dj_42
252,6/11/2018,7/21/2018,40,Call,dj_1502
253,3/12/2018,5/15/2018,64,Web portal,dj_1868
254,4/12/2018,4/27/2018,15,E-mail,dj_1138
255,4/12/2018,6/14/2018,63,E-mail,dj_773
256,5/12/2018,8/4/2018,84,E-mail,dj_1503
257,6/12/2018,9/29/2018,109,Call,dj_408
258,4/12/2018,7/17/2018,96,Call,dj_43
259,4/13/2018,7/9/2018,87,E-mail,dj_409
260,6/13/2018,7/26/2018,43,Web portal,dj_1504
261,6/13/2018,8/13/2018,61,Call,dj_1869
262,3/13/2018,5/15/2018,63,E-mail,dj_1139
263,3/13/2018,4/18/2018,36,Call,dj_44
264,3/13/2018,6/4/2018,83,E-mail,dj_774
265,5/14/2018,8/13/2018,91,E-mail,dj_775
266,6/14/2018,9/5/2018,83,Call,dj_1505
267,3/14/2018,6/28/2018,106,Call,dj_410
268,4/14/2018,7/25/2018,102,E-mail,dj_1140
269,6/14/2018,10/8/2018,116,E-mail,dj_1870
270,6/14/2018,9/5/2018,83,E-mail,dj_45
271,5/15/2018,7/16/2018,62,E-mail,dj_411
272,6/15/2018,10/8/2018,115,Call,dj_1141
273,6/15/2018,9/1/2018,78,Call,dj_1506
274,3/15/2018,3/30/2018,15,Call,dj_1871
275,4/15/2018,6/24/2018,70,Call,dj_776
276,6/15/2018,8/31/2018,77,E-mail,dj_46
277,3/16/2018,7/9/2018,115,Web portal,dj_412
278,5/16/2018,9/8/2018,115,E-mail,dj_777
279,3/16/2018,7/3/2018,109,Call,dj_1142
280,4/16/2018,7/29/2018,104,Call,dj_1507
281,4/16/2018,5/15/2018,29,Call,dj_1872
282,4/16/2018,7/5/2018,80,E-mail,dj_47
283,4/17/2018,7/16/2018,90,Web portal,dj_413
284,5/17/2018,8/17/2018,92,Call,dj_1508
285,5/17/2018,6/21/2018,35,Call,dj_1873
286,5/17/2018,8/2/2018,77,Call,dj_48
287,5/17/2018,6/6/2018,20,E-mail,dj_778
288,6/17/2018,9/6/2018,81,E-mail,dj_1143
289,5/18/2018,9/15/2018,120,E-mail,dj_1144
290,5/18/2018,6/16/2018,29,E-mail,dj_1509
291,5/18/2018,6/6/2018,19,E-mail,dj_779
292,6/18/2018,9/20/2018,94,Call,dj_1874
293,5/18/2018,8/14/2018,88,E-mail,dj_414
294,6/18/2018,7/22/2018,34,Call,dj_49
295,6/19/2018,7/12/2018,23,Web portal,dj_415
296,3/19/2018,4/28/2018,40,Call,dj_1510
297,3/19/2018,6/25/2018,98,Call,dj_1875
298,3/19/2018,4/21/2018,33,E-mail,dj_780
299,5/19/2018,8/29/2018,102,Call,dj_1145
300,6/19/2018,8/9/2018,51,Call,dj_50
301,4/20/2018,6/20/2018,61,Call,dj_416
302,4/20/2018,6/13/2018,54,Web portal,dj_51
303,5/20/2018,6/29/2018,40,Call,dj_1876
304,6/20/2018,9/21/2018,93,Web portal,dj_781
305,4/20/2018,8/5/2018,107,Call,dj_1511
306,5/20/2018,7/10/2018,51,Call,dj_1146
307,4/21/2018,6/3/2018,43,Call,dj_417
308,5/21/2018,7/30/2018,70,Call,dj_52
309,6/21/2018,7/21/2018,30,Call,dj_1147
310,3/21/2018,4/26/2018,36,E-mail,dj_1877
311,3/21/2018,4/5/2018,15,E-mail,dj_782
312,4/21/2018,8/10/2018,111,Call,dj_1512
313,4/22/2018,5/11/2018,19,Web portal,dj_1513
314,4/22/2018,7/15/2018,84,Web portal,dj_783
315,3/22/2018,5/27/2018,66,E-mail,dj_1148
316,3/22/2018,7/7/2018,107,Call,dj_1878
317,3/22/2018,5/23/2018,62,E-mail,dj_418
318,5/22/2018,8/27/2018,97,E-mail,dj_53
319,6/23/2018,10/7/2018,106,Call,dj_419
320,6/23/2018,7/9/2018,16,Call,dj_54
321,4/23/2018,7/11/2018,79,E-mail,dj_784
322,5/23/2018,6/16/2018,24,E-mail,dj_1149
323,5/23/2018,7/13/2018,51,Call,dj_1514
324,5/23/2018,8/29/2018,98,E-mail,dj_1879
325,3/24/2018,5/30/2018,67,E-mail,dj_785
326,5/24/2018,7/30/2018,67,Web portal,dj_1150
327,5/24/2018,9/8/2018,107,Call,dj_1880
328,5/24/2018,9/7/2018,106,Web portal,dj_420
329,6/24/2018,7/12/2018,18,Call,dj_1515
330,6/24/2018,7/23/2018,29,Call,dj_55
331,3/25/2018,5/11/2018,47,E-mail,dj_421
332,5/25/2018,8/16/2018,83,Call,dj_1516
333,4/25/2018,5/21/2018,26,Call,dj_56
334,4/25/2018,6/12/2018,48,E-mail,dj_786
335,5/25/2018,8/11/2018,78,Call,dj_1151
336,5/25/2018,9/9/2018,107,Call,dj_1881
337,3/26/2018,4/25/2018,30,E-mail,dj_1882
338,4/26/2018,6/27/2018,62,E-mail,dj_57
339,5/26/2018,7/8/2018,43,Call,dj_787
340,3/26/2018,6/9/2018,75,E-mail,dj_1517
341,4/26/2018,7/29/2018,94,E-mail,dj_422
342,6/26/2018,9/26/2018,92,Call,dj_1152
343,4/27/2018,7/23/2018,87,E-mail,dj_1153
344,6/27/2018,9/9/2018,74,Web portal,dj_423
345,6/27/2018,7/25/2018,28,Call,dj_58
346,3/27/2018,5/18/2018,52,E-mail,dj_1883
347,5/27/2018,8/24/2018,89,E-mail,dj_788
348,6/27/2018,7/18/2018,21,Call,dj_1518
349,6/28/2018,7/29/2018,31,Call,dj_1884
350,3/28/2018,5/3/2018,36,E-mail,dj_1519
351,6/28/2018,8/19/2018,52,Call,dj_1154
352,5/19/2018,7/30/2018,72,Call,dj_109
353,8/20/2018,10/23/2018,64,E-mail,dj_110
354,7/21/2018,9/23/2018,64,Web portal,dj_111
355,8/22/2018,9/21/2018,30,Web portal,dj_112
356,6/23/2018,7/21/2018,28,Call,dj_113
357,7/24/2018,10/19/2018,87,Call,dj_114
358,3/24/2019,4/30/2019,37,E-mail,dj_1088
359,3/25/2019,5/26/2019,62,Call,dj_1090
360,4/25/2019,7/19/2019,85,Call,dj_1093
361,2/25/2019,6/16/2019,111,Call,dj_1089
362,3/25/2019,5/30/2019,66,E-mail,dj_1092
363,3/25/2019,6/2/2019,69,Call,dj_1094
364,4/25/2019,5/19/2019,24,E-mail,dj_1091
365,4/25/2019,6/27/2019,63,Call,dj_1095
366,2/1/2019,2/23/2019,22,Call,dj_1096
367,2/1/2019,4/4/2019,62,Call,dj_731
368,3/1/2019,3/22/2019,21,E-mail,dj_2027
369,3/1/2019,4/22/2019,52,E-mail,dj_1461
370,4/1/2019,6/24/2019,84,Web portal,dj_1826
371,4/1/2019,6/5/2019,65,Call,dj_3852
372,5/1/2019,8/22/2019,113,Web portal,dj_3122
373,2/1/2019,4/9/2019,67,Call,dj_2757
374,3/1/2019,5/31/2019,91,Call,dj_1
375,3/1/2019,6/8/2019,99,Call,dj_2392
376,4/1/2019,5/9/2019,38,Call,dj_3487
377,5/1/2019,6/21/2019,51,Call,dj_366
378,2/2/2019,3/12/2019,38,Web portal,dj_2028
379,2/2/2019,2/26/2019,24,Call,dj_3123
380,2/2/2019,3/20/2019,46,Call,dj_3488
381,4/2/2019,6/2/2019,61,Web portal,dj_1462
382,5/2/2019,7/24/2019,83,Call,dj_367
383,2/2/2019,3/14/2019,40,Web portal,dj_732
384,3/2/2019,4/28/2019,57,Web portal,dj_1827
385,3/2/2019,4/29/2019,58,Call,dj_2393
386,4/2/2019,6/1/2019,60,Call,dj_1097
387,4/2/2019,7/4/2019,93,Call,dj_2
388,4/2/2019,7/21/2019,110,Web portal,dj_2758
389,5/2/2019,7/1/2019,60,Call,dj_3853
390,2/3/2019,2/28/2019,25,Call,dj_1828
391,2/3/2019,3/18/2019,43,Call,dj_733
392,3/3/2019,5/24/2019,82,E-mail,dj_1463
393,5/3/2019,6/2/2019,30,Call,dj_2394
394,5/3/2019,7/26/2019,84,Call,dj_2759
395,2/3/2019,4/8/2019,64,Web portal,dj_3
396,3/3/2019,5/2/2019,60,Call,dj_1098
397,3/3/2019,6/20/2019,109,Web portal,dj_3124
398,3/3/2019,5/5/2019,63,Call,dj_3854
399,4/3/2019,6/4/2019,62,Web portal,dj_2029
400,4/3/2019,7/8/2019,96,Web portal,dj_3489
401,2/4/2019,2/19/2019,15,Web portal,dj_2030
402,2/4/2019,4/6/2019,61,Web portal,dj_1099
403,2/4/2019,4/28/2019,83,Web portal,dj_369
404,3/4/2019,6/28/2019,116,E-mail,dj_3125
405,5/4/2019,7/30/2019,87,Call,dj_1464
406,5/4/2019,8/18/2019,106,Call,dj_3490
407,5/4/2019,8/3/2019,91,Call,dj_3855
408,2/4/2019,4/28/2019,83,Web portal,dj_2395
409,3/4/2019,4/9/2019,36,Call,dj_1829
410,3/4/2019,3/19/2019,15,Web portal,dj_734
411,4/4/2019,6/26/2019,83,Call,dj_2760
412,5/4/2019,7/21/2019,78,Call,dj_4
413,2/5/2019,5/25/2019,109,Call,dj_2396
414,2/5/2019,5/8/2019,92,Call,dj_735
415,3/5/2019,5/21/2019,77,E-mail,dj_1465
416,3/5/2019,4/3/2019,29,E-mail,dj_3126
417,4/5/2019,5/11/2019,36,E-mail,dj_2031
418,3/5/2019,6/28/2019,115,Web portal,dj_3491
419,3/5/2019,5/25/2019,81,Web portal,dj_5
420,4/5/2019,6/6/2019,62,Web portal,dj_1100
421,4/5/2019,6/14/2019,70,Call,dj_1830
422,5/5/2019,8/17/2019,104,Call,dj_2761
423,5/5/2019,7/24/2019,80,Call,dj_370
424,5/5/2019,8/28/2019,115,Web portal,dj_3856
425,2/6/2019,5/5/2019,88,Web portal,dj_371
426,4/6/2019,5/5/2019,29,E-mail,dj_3127
427,5/6/2019,8/4/2019,90,Call,dj_1466
428,5/6/2019,7/22/2019,77,Call,dj_1831
429,5/6/2019,8/8/2019,94,Call,dj_3492
430,2/6/2019,3/13/2019,35,Web portal,dj_1101
431,2/6/2019,2/26/2019,20,Call,dj_2397
432,3/6/2019,5/22/2019,77,Call,dj_2032
433,3/6/2019,6/16/2019,102,Call,dj_736
434,4/6/2019,5/10/2019,34,Web portal,dj_3857
435,5/6/2019,9/3/2019,120,Web portal,dj_2762
436,5/6/2019,5/25/2019,19,Call,dj_6
437,2/7/2019,3/19/2019,40,Call,dj_1102
438,2/7/2019,3/30/2019,51,Web portal,dj_2398
439,3/7/2019,6/13/2019,98,E-mail,dj_1467
440,4/7/2019,6/15/2019,69,E-mail,dj_2033
441,4/7/2019,5/28/2019,51,E-mail,dj_3128
442,4/7/2019,5/17/2019,40,E-mail,dj_372
443,4/7/2019,7/9/2019,93,E-mail,dj_737
444,3/7/2019,3/30/2019,23,Call,dj_1832
445,3/7/2019,4/9/2019,33,Web portal,dj_2763
446,3/7/2019,4/30/2019,54,Web portal,dj_7
447,4/7/2019,6/7/2019,61,Web portal,dj_3858
448,5/7/2019,8/22/2019,107,Call,dj_3493
449,2/8/2019,3/27/2019,47,E-mail,dj_2034
450,2/8/2019,5/26/2019,107,E-mail,dj_3859
451,4/8/2019,5/14/2019,36,E-mail,dj_1833
452,4/8/2019,4/27/2019,19,E-mail,dj_373
453,5/8/2019,6/20/2019,43,Web portal,dj_2399
454,2/8/2019,4/11/2019,62,Call,dj_738
455,4/8/2019,5/8/2019,30,Web portal,dj_1103
456,4/8/2019,7/28/2019,111,Call,dj_1468
457,4/8/2019,6/17/2019,70,Call,dj_2764
458,4/8/2019,6/13/2019,66,Web portal,dj_3494
459,5/8/2019,5/23/2019,15,Call,dj_3129
460,5/8/2019,8/13/2019,97,Call,dj_8
461,2/9/2019,3/5/2019,24,E-mail,dj_1469
462,3/9/2019,6/15/2019,98,E-mail,dj_2400
463,3/9/2019,3/25/2019,16,E-mail,dj_3130
464,3/9/2019,5/27/2019,79,E-mail,dj_3495
465,5/9/2019,5/27/2019,18,Call,dj_3860
466,2/9/2019,4/12/2019,62,Call,dj_2035
467,3/9/2019,6/24/2019,107,Web portal,dj_9
468,4/9/2019,5/30/2019,51,Call,dj_1834
469,4/9/2019,7/24/2019,106,Web portal,dj_2765
470,5/9/2019,8/1/2019,84,Call,dj_1104
471,5/9/2019,7/15/2019,67,Web portal,dj_374
472,2/10/2019,5/27/2019,106,E-mail,dj_1105
473,2/10/2019,3/8/2019,26,E-mail,dj_375
474,4/10/2019,6/16/2019,67,E-mail,dj_1835
475,5/10/2019,8/26/2019,108,Web portal,dj_2036
476,2/10/2019,4/29/2019,78,Web portal,dj_2401
477,2/10/2019,5/4/2019,83,Web portal,dj_2766
478,2/10/2019,3/29/2019,47,Call,dj_3496
479,3/10/2019,4/8/2019,29,Call,dj_1470
480,3/10/2019,6/25/2019,107,Web portal,dj_3131
481,3/10/2019,6/10/2019,92,Web portal,dj_740
482,4/10/2019,5/28/2019,48,Call,dj_3861
483,2/11/2019,6/10/2019,119,E-mail,dj_2037
484,4/11/2019,5/2/2019,21,E-mail,dj_3497
485,4/11/2019,6/24/2019,74,E-mail,dj_741
486,5/11/2019,7/12/2019,62,Call,dj_2402
487,3/11/2019,6/6/2019,87,Call,dj_3132
488,4/11/2019,6/25/2019,75,Web portal,dj_1106
489,4/11/2019,5/11/2019,30,Call,dj_1471
490,4/11/2019,7/14/2019,94,Call,dj_1836
491,5/11/2019,6/23/2019,43,Web portal,dj_2767
492,5/11/2019,7/2/2019,52,Call,dj_3862
493,2/12/2019,4/5/2019,52,E-mail,dj_1472
494,3/12/2019,5/20/2019,69,E-mail,dj_3498
495,3/12/2019,5/2/2019,51,E-mail,dj_377
496,4/12/2019,5/18/2019,36,E-mail,dj_1837
497,4/12/2019,5/13/2019,31,E-mail,dj_2403
498,5/12/2019,8/21/2019,101,Web portal,dj_3863
499,2/12/2019,3/27/2019,43,Call,dj_2038
500,2/12/2019,3/29/2019,45,Call,dj_3133
501,2/12/2019,4/23/2019,70,Web portal,dj_742
